SampleId,Ad,Std,DI,CSR,CRI,gasRate,cokeRate
cb8025,12.05,0.66,88.62,70.64,22.90,314.63,74.95
cc8035,11.68,0.71,88.35,70.50,22.16,320.35,74.44
cd8070,12.29,0.65,88.46,70.98,22.52,308.54,75.49
cb8065,12.05,0.73,88.19,71.69,22.98,313.69,75.03
cc8041,11.82,0.68,88.65,70.66,22.64,327.75,73.78
cd8072,12.25,0.68,88.52,71.02,22.66,304.60,75.84
cb8036,12.10,0.65,88.04,71.15,22.10,316.13,74.82
cc8050,11.92,0.66,88.60,70.37,22.82,315.75,74.85
ca8025,12.05,0.66,88.62,70.64,22.90,314.63,74.95
cd8036,11.80,0.71,88.15,70.70,22.22,309.85,75.38
ca8067,12.04,0.70,88.33,71.02,22.89,317.35,74.71
cc8060,12.01,0.69,88.15,70.82,22.86,332.90,73.33
cc8028,12.26,0.70,88.10,70.93,23.02,320.81,74.40
cc8051,11.87,0.69,88.51,70.42,22.73,314.07,75.00
cc8036,11.97,0.69,88.40,71.02,22.88,329.81,73.60
cc8040,11.86,0.71,88.50,70.85,22.63,321.47,74.34
cd8049,12.21,0.69,88.22,70.76,22.50,311.63,75.22
ca8035,11.80,0.67,88.52,71.33,22.06,311.07,75.27
cb8049,11.95,0.64,88.62,71.75,22.32,312.38,75.15
ca8065,12.05,0.73,88.19,71.69,22.98,313.69,75.03
ca8069,12.06,0.67,88.35,71.56,22.88,319.41,74.53
cb8045,12.06,0.71,88.43,71.54,22.27,315.47,74.88
cd8069,12.30,0.65,88.38,70.56,22.92,307.51,75.58
ca8073,12.25,0.68,88.52,71.02,22.66,304.60,75.84
cc8043,12.14,0.71,88.40,70.42,22.74,322.59,74.24
cc8046,11.99,0.69,88.62,71.65,22.85,314.63,74.95
cd8054,12.11,0.65,88.47,70.39,22.66,307.88,75.55
cc8068,12.13,0.67,88.26,70.89,22.73,317.35,74.71
ca8072,12.17,0.69,88.30,70.88,22.71,306.29,75.69
ca8036,12.10,0.65,88.04,71.15,22.10,316.13,74.82
cb8053,12.17,0.67,88.16,70.82,22.86,316.69,74.77
cb8066,12.19,0.71,88.15,70.69,22.93,307.51,75.58
ca8061,12.09,0.67,88.69,71.61,21.40,319.32,74.53
ca8048,12.02,0.63,88.21,71.15,22.41,311.91,75.19
ca8075,12.18,0.68,88.36,71.02,22.56,312.48,75.14
cc8063,12.10,0.71,88.22,70.31,22.90,331.87,73.42
cc8032,11.86,0.71,88.38,70.56,23.34,325.87,73.95
ca8030,11.92,0.65,88.10,71.44,22.87,311.35,75.24
cc8056,11.90,0.62,88.60,71.03,22.89,332.34,73.38
cb8043,12.19,0.69,88.03,71.00,22.26,313.51,75.05
cc8057,12.02,0.68,88.08,70.26,22.92,319.97,74.48
cc8033,11.89,0.69,88.33,70.58,23.20,321.85,74.31
ca8059,11.78,0.68,88.39,70.84,22.84,317.07,74.73
